"What is the capital of Japan?","Tokyo","Osaka","Kyoto","Sapporo"
"Which element has the chemical symbol O?","Oxygen","Osmium","Ozone","Opium"
"Who was the first president of the United States?","George Washington","Thomas Jefferson","Abraham Lincoln","John Adams"
"How many continents are there on Earth?","7","6","5","8"
"What is the largest planet in our solar system?","Jupiter","Saturn","Earth","Mars"
"Which animal is known as the king of the jungle?","Lion","Tiger","Elephant","Giraffe"
"Who painted the Mona Lisa?","Leonardo da Vinci","Vincent van Gogh","Pablo Picasso","Claude Monet"
"Which country is the largest by land area?","Russia","Canada","United States","China"
"What is the main ingredient in guacamole?","Avocado","Tomato","Onion","Pepper"
"Which ocean is the largest?","Pacific Ocean","Atlantic Ocean","Indian Ocean","Arctic Ocean"
